código,curso,nombrecurso,semestre
203400,Matemáticas y Lógica,Semestre I
203401,Epistemología de la Tecnología,Semestre I
203402,Epistemología de la Comunicación,Semestre I
203403,Psicología Evolutiva,Semestre I
203404,Competencias Comunicativas,Semestre I
203405,Mediaciones Tecnológicas,Semestre I
203406,Razonamiento Cuantitativo,Semestre II
203407,Educación Tecnológica,Semestre II
203408,Liderazgo y Gestión,Semestre II
203409,Teoría de la Imagen,Semestre II
203410,Psicología del Aprendizaje,Semestre II
203411,Lectura y Escritura Crítica,Semestre II
203412,Educación para la Ciudadanía,Semestre II
203413,Fundamentos de Algoritmia,Semestre III
203414,Informática y Educación,Semestre III
203415,Fotografía,Semestre III
203416,Sociología de la Educación,Semestre III
203417,Prá.Ped.Inv. I (Lect. Cont. Sociológico),Semestre III
203418,Inglés I,Semestre III
203460,Electiva Libre I (Formación Integral),Semestre III
203419,Fundamentos de Programación,Semestre IV
203420,Cognición y Computación,Semestre IV
203421,Gerencia de la Educación,Semestre IV
203422,Narrativa y Guionística,Semestre IV
203423,Tendencias Pedag. y Didácticas,Semestre IV
203424,Prá.Ped.Inv. II (Lec. de Cont. Pedagógic.),Semestre IV
203425,Inglés II,Semestre IV
203461,Electiva Libre II (Formación Integral),Semestre IV
203426,Técnicas Avanzadas de Programación,Semestre V
203427,Inteligencia Computacional,Semestre V
203428,Plan. Estrat. e Indic. de Gest. Educativa,Semestre V
203429,Radio,Semestre V
203430,Currículo y Gestión Escolar,Semestre V
203431,Didáctica General,Semestre V
203432,Prá.Ped.Inv. III (Lect. de Cont. Curricular),Semestre V
203433,Inglés III,Semestre V
203434,Redes de Computadores,Semestre VI
203448,Prod. de Artefact. Tecnológicos,Semestre VI
203436,Procesos Evaluativos,Semestre VI
203437,Didáctica de la Informática,Semestre VI
203438,Prá.Ped.Inv. IV (Lab. De Gest. Educativa),Semestre VI
203439,Teoría y Métodos de Investigación,Semestre VI
203440,Inglés IV,Semestre VI
203435,Robótica Básica,Semestre VII
203441,Ambientes Educat. Tecnológicos,Semestre VII
203442,Producción Multimedia,Semestre VII
203443,Políticas Públicas e Identidad Docente,Semestre VII
203444,Didác de los Medios Audiovisuales,Semestre VII
203445,Prá.Ped.Inv. V (Enseñ. de la Prog.),Semestre VII
203446,Planeación de Proy. de Investigación,Semestre VII
203462,Electiva de Carrera I,Semestre VII
203447,Dis. y Dllo. de Soft. Educativo I,Semestre VIII
203449,Gestión de Proyec. Educativos,Semestre VIII
203450,Realización Audiovisual I,Semestre VIII
203451,Prá.Ped.Inv. VI (en Audiovisuales),Semestre VIII
203452,Diseño de la Intervención Pedag.,Semestre VIII
203463,Electiva de Carrera II,Semestre VIII
203453,Dis. y Dllo. de Soft. Educativo II,Semestre IX
203454,Realización Audiovisual II,Semestre IX
203455,Práctica Docente I,Semestre IX
203456,Aplic. y Valid. de la Intervención Pedag.,Semestre IX
203464,Electiva de Carrera III,Semestre IX
203457,Dis. y Dllo. de Soft. Educativo III,Semestre X
203458,Práctica Docente II,Semestre X
203459,Elab. y Sustentación de Informe Final,Semestre X
203465,Requisito de Grado,Semestre X
